authors,publication_year,title,journal,doi,affiliations
ARNQVIST G;ROWE L;KRUPA JJ;SIH A,1996,ASSORTATIVE MATING BY SIZE: A META-ANALYSIS OF MATING PATTERNS IN WATER STRIDERS,EVOLUTIONARY ECOLOGY,10.1007/BF01237684,"DEPARTMENT OF BIOLOGY, CASTETTER HALL, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM 87131-1091, UNITED STATES; DEPARTMENT OF ZOOLOGY, UNIVERSITY OF TORONTO, TORONTO, ONT. M5S 1A1, CANADA; CENTER FOR EVOLUTIONARY ECOLOGY, SCHOOL OF BIOLOGICAL SCIENCES, UNIVERSITY OF KENTUCKY, LEXINGTON, KY 40506-0225, UNITED STATES; DEPARTMENT OF ANIMAL ECOLOGY, UNIVERSITY OF UMEÅ, S-901 87 UMEÅ, SWEDEN"
BERNASCONI G;HELLRIEGEL B,2005,FERTILIZATION COMPETENCE AND SPERM SIZE VARIATION IN SPERM-HETEROMORPHIC INSECTS,EVOLUTIONARY ECOLOGY,10.1007/S10682-004-7594-2,"INSTITUTE OF ENVIRONMENTAL SCIENCES, UNIVERSITY OF ZURICH, SWITZERLAND; DEPARTMENT OF ECOLOGY AND EVOLUTION, UNIVERSITY OF LAUSANNE, SWITZERLAND; INSTITUTE FOR APPLIED MATHEMATICS, UNIVERSITY OF BONN, GERMANY; INSTITUTE FOR ADVANCED STUDY, 14193 BERLIN, WALLOTSTRASSE 19, GERMANY"
GARAMSZEGI LZ;EENS M,2004,BRAIN SPACE FOR A LEARNED TASK: STRONG INTRASPECIFIC EVIDENCE FOR NEURAL CORRELATES OF SINGING BEHAVIOR IN SONGBIRDS,BRAIN RESEARCH REVIEWS,10.1016/J.BRAINRESREV.2003.12.001,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF ANTWERP, B-2610, WILRIJK, UNIVERSITEITSPLEIN 1, BELGIUM"
THORNHILL R;MØLLER AP,1998,THE RELATIVE IMPORTANCE OF SIZE AND ASYMMETRY IN SEXUAL SELECTION,BEHAVIORAL ECOLOGY,10.1093/BEHECO/9.6.546,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM 87131-1091, UNITED STATES; LABORATOIRE D'ECOLOGIE, CNRS URA 258, UNIV. PIERRE ET MARIE CURIE, F-75252 PARIS CEDEX 05, 7 QUAI ST. BERNARD, CASE 237, FRANCE"
ARNQVIST G;NILSSON T,2000,THE EVOLUTION OF POLYANDRY: MULTIPLE MATING AND FEMALE FITNESS IN INSECTS,ANIMAL BEHAVIOUR,10.1006/ANBE.2000.1446,"ANIMAL ECOLOGY, DEPARTMENT OF ECOLOGY AND ENVIRONMENTAL SCIENCE, UNIVERSITY OF UMEÅ, SWEDEN"
HAYWARD A;GILLOOLY JF,2011,THE COST OF SEX: QUANTIFYING ENERGETIC INVESTMENT IN GAMETE PRODUCTION BY MALES AND FEMALES,PLOS ONE,10.1371/JOURNAL.PONE.0016557,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF FLORIDA, GAINESVILLE, FL, UNITED STATES"
GARAMSZEGI LZ,2005,BIRD SONG AND PARASITES,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-005-0041-8,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF ANTWERP CAMPUS DRIE, B-2610 WILRIJK, EIKEN UNIVERSITEITSPLEIN 1, BELGIUM"
PARKER TH;LIGON JD,2003,FEMALE MATING PREFERENCES IN RED JUNGLEFOWL: A META-ANALYSIS,ETHOLOGY ECOLOGY AND EVOLUTION,10.1080/08927014.2003.9522691,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM, 87131, UNITED STATES"
MØLLER AP;ALATALO RV,1999,GOOD-GENES EFFECTS IN SEXUAL SELECTION,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.1999.0607,"LABORATOIRE D'ECOLOGIE, CNRS URA 258, UNIV. PIERRE ET MARIE CURIE, PARIS CEDEX 05, 7EME ET., 7 QUAI ST BERNARD, C. 237, FRANCE; DEPT. OF BIOL. AND ENVIRON. SCIENCE, UNIVERSITY OF JYVÄSKYLÄ, FIN-40351 JYVÄSKYLÄ, PO BOX 35, FINLAND"
TORRES-VILA LM;JENNIONS MD,2005,MALE MATING HISTORY AND FEMALE FECUNDITY IN THE LEPIDOPTERA: DO MALE VIRGINS MAKE BETTER PARTNERS?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-004-0857-7,"SERV. SANID. VEG., CONSEJERIA A., 06800 MÉRIDA BADAJOZ, AVDA. DE PORTUGAL S/N, SPAIN; SCHOOL OF BOTANY AND ZOOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA"
