author_complete_name,author_given_name,author_surname,title,journal,doi,author_order,total_number_authors,automated_gender,automated_certainty,manual_gender
Lüpold S.,Stefan,Lüpold,No evidence for a trade-off between sperm length and male premating weaponry,Journal of Evolutionary Biology,10.1111/jeb.12742,1,4,male,1,male
Simmons L.W.,Leigh,Simmons,No evidence for a trade-off between sperm length and male premating weaponry,Journal of Evolutionary Biology,10.1111/jeb.12742,2,4,male,0.83,male
Tomkins J.,Joseph,Tomkins,No evidence for a trade-off between sperm length and male premating weaponry,Journal of Evolutionary Biology,10.1111/jeb.12742,3,4,male,1,male
Fitzpatrick J.L.,John,Fitzpatrick,No evidence for a trade-off between sperm length and male premating weaponry,Journal of Evolutionary Biology,10.1111/jeb.12742,4,4,male,1,male
Graham S.,Stuart,Graham,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,1,9,male,1,male
Chapuis E.,Elodie,Chapuis,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,2,9,female,0.99,female
Meconcelli S.,Stefania,Meconcelli,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,3,9,female,1,female
Bonel N.,Nicolas,Bonel,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,4,9,male,1,male
Sartori K.,Kevin,Sartori,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,5,9,male,1,male
Christophe A.,Ananda,Christophe,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,6,9,female,0.57,female
Alda P.,Pilar,Alda,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,7,9,female,0.98,female
David P.,Patrice,David,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,8,9,female,0.71,male
Janicke T.,Tim,Janicke,Size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,Behavioral Ecology and Sociobiology,10.1007/s00265-015-1999-5,9,9,male,1,male
Hsu Y.H.,Yu,Hsu,Are extra-pair males different from cuckolded males? A case study and a meta-analytic examination,Molecular Ecology,10.1111/mec.13124,1,5,male,0.53,female
Schroeder J.,Julia,Schroeder,Are extra-pair males different from cuckolded males? A case study and a meta-analytic examination,Molecular Ecology,10.1111/mec.13124,2,5,female,0.99,female
Winney I.,Isabel,Winney,Are extra-pair males different from cuckolded males? A case study and a meta-analytic examination,Molecular Ecology,10.1111/mec.13124,3,5,female,1,female
Burke T.,Terry,Burke,Are extra-pair males different from cuckolded males? A case study and a meta-analytic examination,Molecular Ecology,10.1111/mec.13124,4,5,male,0.79,male
Nakagawa S.,Shinichi,Nakagawa,Are extra-pair males different from cuckolded males? A case study and a meta-analytic examination,Molecular Ecology,10.1111/mec.13124,5,5,male,1,male
Greenfield M.D.,Michael,Greenfield,The dilemma of Fisherian sexual selection: Mate choice for indirect benefits despite rarity and overall weakness of trait-preference genetic correlation,Evolution,10.1111/evo.12542,1,4,male,1,male
Alem S.,Sylvain,Alem,The dilemma of Fisherian sexual selection: Mate choice for indirect benefits despite rarity and overall weakness of trait-preference genetic correlation,Evolution,10.1111/evo.12542,2,4,male,1,male
Limousin D.,Denis,Limousin,The dilemma of Fisherian sexual selection: Mate choice for indirect benefits despite rarity and overall weakness of trait-preference genetic correlation,Evolution,10.1111/evo.12542,3,4,male,0.97,male
Bailey N.W.,Nathan,Bailey,The dilemma of Fisherian sexual selection: Mate choice for indirect benefits despite rarity and overall weakness of trait-preference genetic correlation,Evolution,10.1111/evo.12542,4,4,male,1,male
Losdat S.,Sylvain,Losdat,Inbreeding depression in male gametic performance,Journal of Evolutionary Biology,10.1111/jeb.12403,1,3,male,1,male
Chang S.,Shu-Mei,Chang,Inbreeding depression in male gametic performance,Journal of Evolutionary Biology,10.1111/jeb.12403,2,3,NA,NA,female
Reid J.,Jane,Reid,Inbreeding depression in male gametic performance,Journal of Evolutionary Biology,10.1111/jeb.12403,3,3,female,1,female
Guindre-Parker S.,Sarah,Guindre-Parker,Revisiting the condition-dependence of melanin-based plumage,Journal of Avian Biology,10.1111/j.1600-048X.2013.00190.x,1,2,female,1,female
Love O.,Oliver,Love,Revisiting the condition-dependence of melanin-based plumage,Journal of Avian Biology,10.1111/j.1600-048X.2013.00190.x,2,2,male,1,male
Mautz B.S.,Brian,Mautz,Do male secondary sexual characters signal ejaculate quality? A meta-analysis,Biological Reviews,10.1111/brv.12022,1,3,male,1,male
Moller A.P.,Anders,Moller,Do male secondary sexual characters signal ejaculate quality? A meta-analysis,Biological Reviews,10.1111/brv.12022,2,3,male,1,male
Jennions M.D.,Michael,Jennions,Do male secondary sexual characters signal ejaculate quality? A meta-analysis,Biological Reviews,10.1111/brv.12022,3,3,male,1,male
Majolo B.,Bonaventura,Majolo,Fitness-related benefits of dominance in primates,American Journal of Physical Anthropology,10.1002/ajpa.22031,1,4,male,0.91,male
Lehmann J.,Julia,Lehmann,Fitness-related benefits of dominance in primates,American Journal of Physical Anthropology,10.1002/ajpa.22031,2,4,female,0.99,female
De Bortoli Vizioli A.,Aurora,De Bortoli Vizioli,Fitness-related benefits of dominance in primates,American Journal of Physical Anthropology,10.1002/ajpa.22031,3,4,female,1,female
Schino G.,Gabriele,Schino,Fitness-related benefits of dominance in primates,American Journal of Physical Anthropology,10.1002/ajpa.22031,4,4,male,0.85,male
Ord T.J.,Terry,Ord,Contrasting theory with the empirical data of species recognition,Evolution,10.1111/j.1558-5646.2011.01319.x,1,3,male,0.79,male
King L.,Léandra,King,Contrasting theory with the empirical data of species recognition,Evolution,10.1111/j.1558-5646.2011.01319.x,2,3,female,1,female
Young A.,Adrian,Young,Contrasting theory with the empirical data of species recognition,Evolution,10.1111/j.1558-5646.2011.01319.x,3,3,male,0.99,male
Kraaijeveld K.,Ken,Kraaijeveld,Sexual selection and speciation: The comparative evidence revisited,Biological Reviews,10.1111/j.1469-185X.2010.00150.x,1,3,male,1,male
Kraaijeveld-Smit F.,Femmie,Kraaijeveld-Smit,Sexual selection and speciation: The comparative evidence revisited,Biological Reviews,10.1111/j.1469-185X.2010.00150.x,2,3,female,0.82,female
Maan M.,Martine,Maan,Sexual selection and speciation: The comparative evidence revisited,Biological Reviews,10.1111/j.1469-185X.2010.00150.x,3,3,female,0.98,female
Kelly C.D.,Clint,Kelly,"The interrelationships between resource-holding potential, resource-value and reproductive success in territorial males: How much variation can we explain?",Behavioral Ecology and Sociobiology,10.1007/s00265-007-0518-8,1,1,male,1,male
Garamszegi L.Z.,Laszlo,Garamszegi,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,1,6,male,0.99,male
Török J.,János,Török,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,2,6,male,1,male
Hegyi G.,Gergely,Hegyi,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,3,6,male,0.97,male
Szöllõsi E.,Eszter,Szöllõsi,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,4,6,female,1,female
Rosivall B.,Balázs,Rosivall,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,5,6,male,0.99,male
Eens M.,Marcel,Eens,"Age-dependent expression of song in the collared flycatcher, Ficedula albicollis",Ethology,10.1111/j.1439-0310.2007.01337.x,6,6,male,0.99,male
Garamszegi L.Z.,Laszlo,Garamszegi,Brain space for a learned task: Strong intraspecific evidence for neural correlates of singing behavior in songbirds,Brain Research Reviews,10.1016/j.brainresrev.2003.12.001,1,2,male,0.99,male
Eens M.,Marcel,Eens,Brain space for a learned task: Strong intraspecific evidence for neural correlates of singing behavior in songbirds,Brain Research Reviews,10.1016/j.brainresrev.2003.12.001,2,2,male,0.99,male
Gontard-Danek M.C.,Marine,Gontard-Danek,The strength of sexual selection: A metaanalysis of bird studies,Behavioral Ecology,10.1093/beheco/10.5.476,1,2,female,0.96,female
Moller A.P.,Anders,Moller,The strength of sexual selection: A metaanalysis of bird studies,Behavioral Ecology,10.1093/beheco/10.5.476,2,2,male,1,male
Hamilton W.J.,William,Hamilton,The Hamilton and Zuk hypothesis revisited: A meta-analytical approach,Behaviour,10.1163/156853997x00485,1,2,male,1,male
Poulin R.,Robert,Poulin,The Hamilton and Zuk hypothesis revisited: A meta-analytical approach,Behaviour,10.1163/156853997x00485,2,2,male,1,male
Hasik A.Z.,Adam,Hasik,Parasitism shapes selection by drastically reducing host fitness and increasing host fitness variation,Biology Letters,10.1098/rsbl.2022.0323,1,2,male,1,male
Siepielski A.M.,Adam,Siepielski,Parasitism shapes selection by drastically reducing host fitness and increasing host fitness variation,Biology Letters,10.1098/rsbl.2022.0323,2,2,male,1,male
Dougherty L.R.,Liam,Dougherty,Meta-analysis shows the evidence for context-dependent mating behaviour is inconsistent or weak across animals,Ecology Letters,10.1111/ele.13679,1,1,male,1,male
Rodríguez R.L.,Rafael,Rodríguez,Why the Static Allometry of Sexually-Selected Traits Is so Variable: The Importance of Function,Integrative and Comparative Biology,10.1093/icb/icz039,1,2,male,1,male
Eberhard W.G.,William,Eberhard,Why the Static Allometry of Sexually-Selected Traits Is so Variable: The Importance of Function,Integrative and Comparative Biology,10.1093/icb/icz039,2,2,male,1,male
Wang D.,Daiping,Wang,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,1,11,male,0.6,male
Forstmeier W.,Wolfgang,Forstmeier,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,2,11,male,1,male
Valcu M.,Mihai,Valcu,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,3,11,male,0.98,male
Dingemanse N.J.,Niels,Dingemanse,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,4,11,male,1,male
Bulla M.,Martin,Bulla,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,5,11,male,1,male
Both C.,Christiaan,Both,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,6,11,male,1,male
Duckworth R.A.,Renée,Duckworth,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,7,11,female,0.98,female
Kiere L.M.,Lynna,Kiere,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,8,11,female,1,female
Karell P.,Patrik,Karell,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,9,11,male,1,male
Albrecht T.,Tomáš,Albrecht,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,10,11,male,1,male
Kempenaers B.,Bart,Kempenaers,Scrutinizing assortative mating in birds,PLoS Biology,10.1371/journal.pbio.3000156,11,11,male,1,male
Weaver R.J.,Ryan,Weaver,Carotenoid metabolism strengthens the link between feather coloration and individual quality,Nature Communications,10.1038/s41467-017-02649-z,1,5,male,1,male
Santos E.S.A.,Eduardo,Santos,Carotenoid metabolism strengthens the link between feather coloration and individual quality,Nature Communications,10.1038/s41467-017-02649-z,2,5,male,1,male
Tucker A.M.,Anna,Tucker,Carotenoid metabolism strengthens the link between feather coloration and individual quality,Nature Communications,10.1038/s41467-017-02649-z,3,5,female,0.99,female
Wilson A.E.,Alan,Wilson,Carotenoid metabolism strengthens the link between feather coloration and individual quality,Nature Communications,10.1038/s41467-017-02649-z,4,5,male,1,male
Hill G.,Geoffrey,Hill,Carotenoid metabolism strengthens the link between feather coloration and individual quality,Nature Communications,10.1038/s41467-017-02649-z,5,5,male,1,male
Parker T.H.,Timothy,Parker,Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,Animal Behaviour,10.1016/j.anbehav.2018.05.023,1,5,male,1,male
Greig E.I.,Emma,Greig,Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,Animal Behaviour,10.1016/j.anbehav.2018.05.023,2,5,female,0.99,female
Nakagawa S.,Shinichi,Nakagawa,Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,Animal Behaviour,10.1016/j.anbehav.2018.05.023,3,5,male,1,male
Parra M.,Marcelina,Parra,Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,Animal Behaviour,10.1016/j.anbehav.2018.05.023,4,5,female,0.99,female
Dalisio A.C.,Anthony,Dalisio,Subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,Animal Behaviour,10.1016/j.anbehav.2018.05.023,5,5,male,1,male
Anthes N.,Nils,Anthes,Measuring and interpreting sexual selection metrics: evaluation and guidelines,Methods in Ecology and Evolution,10.1111/2041-210X.12707,1,4,male,1,male
Häderer I.K.,Ines,Häderer,Measuring and interpreting sexual selection metrics: evaluation and guidelines,Methods in Ecology and Evolution,10.1111/2041-210X.12707,2,4,female,0.98,female
Michiels N.K.,Nico,Michiels,Measuring and interpreting sexual selection metrics: evaluation and guidelines,Methods in Ecology and Evolution,10.1111/2041-210X.12707,3,4,male,0.97,male
Janicke T.,Tim,Janicke,Measuring and interpreting sexual selection metrics: evaluation and guidelines,Methods in Ecology and Evolution,10.1111/2041-210X.12707,4,4,male,1,male
Harts A.M.F.,Anna,Harts,Mate guarding and frequent copulation in birds: A meta-analysis of their relationship to paternity and male phenotype,Evolution,10.1111/evo.13081,1,3,female,0.99,female
Booksmythe I.,Isobel,Booksmythe,Mate guarding and frequent copulation in birds: A meta-analysis of their relationship to paternity and male phenotype,Evolution,10.1111/evo.13081,2,3,female,1,female
Jennions M.D.,Michael,Jennions,Mate guarding and frequent copulation in birds: A meta-analysis of their relationship to paternity and male phenotype,Evolution,10.1111/evo.13081,3,3,male,1,male
Dougherty L.R.,Liam,Dougherty,Variation in pre- and post-copulatory sexual selection on male genital size in two species of lygaeid bug,Behavioral Ecology and Sociobiology,10.1007/s00265-016-2082-6,1,2,male,1,male
Shuker D.M.,David,Shuker,Variation in pre- and post-copulatory sexual selection on male genital size in two species of lygaeid bug,Behavioral Ecology and Sociobiology,10.1007/s00265-016-2082-6,2,2,male,1,male
Culina A.,Antica,Culina,Trading up: The fitness consequences of divorce in monogamous birds,Biological Reviews,10.1111/brv.12143,1,3,male,0.59,female
Radersma R.,Reinder,Radersma,Trading up: The fitness consequences of divorce in monogamous birds,Biological Reviews,10.1111/brv.12143,2,3,male,0.97,male
Sheldon B.C.,Ben,Sheldon,Trading up: The fitness consequences of divorce in monogamous birds,Biological Reviews,10.1111/brv.12143,3,3,male,0.99,male
Hegyi G.,Gergely,Hegyi,Direct benefits of mate choice: A meta-analysis of plumage colour and offspring feeding rates in birds,Science of Nature,10.1007/s00114-015-1311-6,1,3,male,0.97,male
Kötél D.,Dóra,Kötél,Direct benefits of mate choice: A meta-analysis of plumage colour and offspring feeding rates in birds,Science of Nature,10.1007/s00114-015-1311-6,2,3,female,1,female
Laczi M.,Miklós,Laczi,Direct benefits of mate choice: A meta-analysis of plumage colour and offspring feeding rates in birds,Science of Nature,10.1007/s00114-015-1311-6,3,3,male,0.99,male
Peixoto P.E.C.,Paulo,Peixoto,Do territorial butterflies show a macroecological fighting pattern in response to environmental stability?,Behavioural Processes,10.1016/j.beproc.2014.07.001,1,3,male,1,male
Medina A.,Anderson,Medina,Do territorial butterflies show a macroecological fighting pattern in response to environmental stability?,Behavioural Processes,10.1016/j.beproc.2014.07.001,2,3,male,0.97,male
Mendoza-Cuenca L.,Luis,Mendoza-Cuenca,Do territorial butterflies show a macroecological fighting pattern in response to environmental stability?,Behavioural Processes,10.1016/j.beproc.2014.07.001,3,3,male,1,male
Vieira M.,Marcos,Vieira,Winners and losers: A meta-analysis of functional determinants of fighting ability in arthropod contests,Functional Ecology,10.1111/1365-2435.12051,1,2,male,1,male
Peixoto P.E.C.,Paulo,Peixoto,Winners and losers: A meta-analysis of functional determinants of fighting ability in arthropod contests,Functional Ecology,10.1111/1365-2435.12051,2,2,male,1,male
Yukilevich R.,Roman,Yukilevich,Asymmetrical patterns of speciation uniquely support reinforcement in drosophila,Evolution,10.1111/j.1558-5646.2011.01534.x,1,1,male,0.99,male
